name,label,year,GEOID,NAME,variable,estimate,moe
B11016_001,Estimate!!Total,2011,77381,ZCTA5 77381,B11016_001,14038,285
B11016_001,Estimate!!Total,2011,77384,ZCTA5 77384,B11016_001,4691,319
B11016_001,Estimate!!Total,2011,77401,ZCTA5 77401,B11016_001,6574,203
B11016_001,Estimate!!Total,2011,77433,ZCTA5 77433,B11016_001,13441,459
B11016_001,Estimate!!Total,2011,77446,ZCTA5 77446,B11016_001,1290,207
B11016_001,Estimate!!Total,2011,77450,ZCTA5 77450,B11016_001,22581,460
B11016_001,Estimate!!Total,2011,77471,ZCTA5 77471,B11016_001,11431,412
B11016_001,Estimate!!Total,2011,77474,ZCTA5 77474,B11016_001,4596,277
B11016_001,Estimate!!Total,2011,77477,ZCTA5 77477,B11016_001,12570,486
B11016_001,Estimate!!Total,2011,77478,ZCTA5 77478,B11016_001,8561,347
B11016_001,Estimate!!Total,2011,77479,ZCTA5 77479,B11016_001,22797,517
B11016_001,Estimate!!Total,2011,77493,ZCTA5 77493,B11016_001,6712,277
B11016_001,Estimate!!Total,2011,77498,ZCTA5 77498,B11016_001,15007,368
B11016_001,Estimate!!Total,2011,77504,ZCTA5 77504,B11016_001,8421,339
B11016_001,Estimate!!Total,2011,77505,ZCTA5 77505,B11016_001,8010,306
B11016_001,Estimate!!Total,2011,77511,ZCTA5 77511,B11016_001,15665,613
B11016_001,Estimate!!Total,2011,77520,ZCTA5 77520,B11016_001,11955,473
B11016_001,Estimate!!Total,2011,77550,ZCTA5 77550,B11016_001,10615,521
B11016_001,Estimate!!Total,2011,77554,ZCTA5 77554,B11016_001,3763,261
B11016_001,Estimate!!Total,2011,77586,ZCTA5 77586,B11016_001,8144,319
B11016_001,Estimate!!Total,2011,77591,ZCTA5 77591,B11016_001,5478,344
B11016_001,Estimate!!Total,2012,77002,ZCTA5 77002,B11016_001,2866,274
B11016_001,Estimate!!Total,2012,77003,ZCTA5 77003,B11016_001,4098,212
B11016_001,Estimate!!Total,2012,77004,ZCTA5 77004,B11016_001,12361,485
B11016_001,Estimate!!Total,2012,77005,ZCTA5 77005,B11016_001,9386,301
B11016_001,Estimate!!Total,2012,77006,ZCTA5 77006,B11016_001,11234,370
B11016_001,Estimate!!Total,2012,77007,ZCTA5 77007,B11016_001,15059,410
B11016_001,Estimate!!Total,2012,77008,ZCTA5 77008,B11016_001,14368,466
B11016_001,Estimate!!Total,2012,77009,ZCTA5 77009,B11016_001,14063,362
B11016_001,Estimate!!Total,2012,77010,ZCTA5 77010,B11016_001,244,81
B11016_001,Estimate!!Total,2012,77011,ZCTA5 77011,B11016_001,5628,291
B11016_001,Estimate!!Total,2012,77012,ZCTA5 77012,B11016_001,6212,237
B11016_001,Estimate!!Total,2012,77016,ZCTA5 77016,B11016_001,9359,315
B11016_001,Estimate!!Total,2012,77017,ZCTA5 77017,B11016_001,9940,263
B11016_001,Estimate!!Total,2012,77018,ZCTA5 77018,B11016_001,10965,323
B11016_001,Estimate!!Total,2012,77019,ZCTA5 77019,B11016_001,10006,340
B11016_001,Estimate!!Total,2012,77020,ZCTA5 77020,B11016_001,7914,356
B11016_001,Estimate!!Total,2012,77021,ZCTA5 77021,B11016_001,9743,321
B11016_001,Estimate!!Total,2012,77022,ZCTA5 77022,B11016_001,9231,319
B11016_001,Estimate!!Total,2012,77023,ZCTA5 77023,B11016_001,9462,284
