event_uid,venue_uid,"start_date","end_date"
14180414,1647308,"2015-02-11","2015-02-11"
14180925,6569912,"2013-07-10","2013-07-10"
14184836,220855,"2019-09-14","2019-10-12"
14185946,6450183,"2016-02-02","2016-02-28"
14187025,9576675,"2011-06-04","2011-06-27"
14189261,3550312,"2012-10-08","2012-11-01"
14189882,6474523,"2007-02-17","2007-02-17"
14190834,6474523,"2015-09-11","2015-10-24"
14190998,16431379,"2014-11-21","2014-11-23"
14192008,6567283,"2011-06-04","2011-07-30"
14193359,6022610,"2012-03-09","2012-04-22"
14193394,7535394,"2018-06-30","2018-08-11"
14193483,12330565,"2018-03-04","2018-08-12"
14194265,12059551,"2019-08-22","2019-09-26"
14194976,11058957,"2009-02-19","2009-05-09"
14196501,11856697,"2010-04-25","2010-04-25"
14199602,8692473,"2017-10-14","2017-11-11"
14200403,15123524,"2019-03-19","2019-04-09"
14201938,1459984,"2012-03-08","2012-03-08"
14205067,512846,"2016-07-14","2016-09-08"
14206760,6450183,"2016-05-03","2016-05-31"
14207800,2533723,"2013-01-14","2013-01-14"
14210709,2204740,"2015-10-09","2015-10-22"
14210891,1153402,"2013-01-26","2013-01-26"
14212992,3708126,"2016-07-09","2016-08-27"
14215863,1959807,"2010-04-09","2010-04-25"
14217688,10316129,"2018-12-01","2018-12-01"
14220944,10137684,"2011-06-04","2011-07-30"
14221038,14221280,"2017-06-09","2017-07-22"
14227176,8692473,"2018-11-03","2018-12-15"
14228230,3816741,"2015-07-09","2015-08-15"
14230673,4747014,"2011-12-17","2011-12-17"
14237091,11856697,"2012-03-09","2012-04-14"
14237800,5903412,"2013-02-01","2013-02-24"
14240026,113940,"2008-04-12","2008-05-17"
14247843,3708126,"2011-10-15","2011-11-26"
14248692,4748624,"2018-07-07","2018-07-07"
14249869,2575785,"2014-02-28","2014-02-28"
14252173,14330106,"2011-09-30","2011-10-29"
14252545,5527059,"2019-04-06","2019-05-04"
14258301,9576675,"2014-10-04","2014-10-26"
14258655,6669651,"2018-06-20","2018-06-20"
14260528,5553094,"2018-10-06","2018-11-24"
14262544,14258737,"2017-05-06","2017-05-06"
14263212,14221280,"2017-03-24","2017-05-06"
14267050,11304257,"2015-11-05","2015-11-05"
14267168,3255090,"2012-11-30","2013-01-01"
14268142,15967180,"2011-02-26","2011-02-26"
14268148,6022610,"2014-05-09","2014-07-06"
14269793,1396764,"2010-12-02","2011-01-02"
14269987,6617588,"2012-01-06","2012-01-06"
14273981,4736967,"2018-08-10","2018-10-15"
14276791,4415947,"2019-06-22","2019-06-22"
14277513,8710352,"2019-05-30","2019-05-30"
14277598,512846,"2015-01-20","2015-02-11"
14278383,14858902,"2009-05-02","2009-05-30"
14279878,3998459,"2019-05-22","2019-05-22"
14280372,9919206,"2010-10-29","2010-11-27"
14281774,2857335,"2014-10-04","2014-10-26"
14283974,3255090,"2012-09-07","2012-10-20"
14289057,8848008,"2010-08-14","2010-09-16"
14289277,113940,"2011-10-15","2011-11-19"
14289923,11058957,"2011-06-03","2011-07-29"
14291743,5231713,"2007-09-07","2007-10-06"
14295901,1212828,"2019-08-24","2019-11-16"
14297641,5764669,"2012-02-04","2012-02-25"
14299139,12909288,"2018-06-09","2018-07-07"
14299190,11785671,"2012-06-23","2012-07-26"
14299206,8685805,"2014-09-06","2014-09-27"
14301285,10615069,"2018-11-29","2018-12-30"
14305941,4950257,"2014-07-18","2014-07-20"
14308870,3430069,"2014-10-25","2014-11-29"
14309602,11856697,"2009-08-21","2009-09-26"
14309743,11856697,"2015-04-20","2015-04-26"
14312384,6029270,"2012-10-25","2012-10-28"
14313809,8573380,"2010-10-23","2010-11-27"
14315919,7729187,"2017-03-18","2017-04-22"
14317926,14221280,"2008-09-05","2008-10-10"
14322988,13787030,"2014-11-14","2014-11-23"
14323135,3816741,"2019-05-11","2019-05-25"
14325400,3035397,"2008-05-08","2008-07-10"
14325704,11058957,"2009-06-25","2009-09-19"
14326480,2797286,"2019-05-03","2019-06-01"
14326793,5392379,"2013-10-04","2013-10-05"
14327015,1396764,"2013-09-12","2013-10-12"
14330492,14153503,"2014-05-24","2014-07-27"
14330618,7729187,"2017-03-18","2017-04-22"
14331667,11856697,"2010-01-22","2010-02-27"
14333119,4993577,"2009-01-24","2009-03-05"
14335681,12330565,"2010-09-19","2011-01-09"
14335732,13046622,"2016-08-19","2016-08-27"
14338787,14858902,"2008-12-13","2009-01-10"
14338856,8685805,"2016-02-13","2016-03-05"
14339869,13360907,"2011-06-07","2011-07-07"
14345210,9976546,"2012-04-28","2012-04-28"
14347922,9743125,"2014-01-17","2014-02-18"
14347936,12757578,"2012-11-17","2013-01-13"
14348595,1459984,"2011-09-09","2011-10-29"
14349781,6990269,"2017-11-04","2017-12-29"
14350799,4169497,"2007-04-10","2007-06-25"
14351467,6450183,"2008-04-02","2008-04-29"
14353167,6838236,"2012-07-13","2012-07-14"
14354292,6617588,"2009-06-20","2009-06-20"
14355093,9743125,"2012-05-25","2012-07-10"
14356933,1212828,"2017-11-25","2018-02-10"
14357467,13371986,"2016-08-20","2016-09-18"
14357860,11856697,"2016-03-11","2016-04-16"
14364283,1396764,"2014-12-11","2015-01-10"
14365277,6474523,"2013-06-28","2013-08-10"
14366238,2797286,"2019-03-22","2019-04-27"
14367159,15938756,"2013-04-19","2013-05-15"
14370642,5527059,"2015-04-30","2015-06-13"
14370817,1729644,"2018-03-02","2018-03-31"
14371743,6618085,"2013-01-19","2013-01-19"
14373468,6567283,"2009-07-11","2009-08-29"
14373607,5446079,"2014-01-30","2014-02-21"
14374105,11856697,"2018-02-05","2018-05-28"
14375797,11856697,"2018-09-17","2018-12-17"
14378923,8692473,"2010-10-23","2010-11-20"
14379202,14221280,"2008-01-25","2008-02-22"
14382765,1153402,"2011-09-22","2011-09-22"
14382875,1459984,"2010-02-06","2010-02-06"
14383419,14503265,"2011-04-30","2011-04-30"
14384649,7898351,"2016-08-25","2016-09-20"
14384858,8692473,"2016-04-30","2016-06-04"
14388039,15609665,"2017-12-17","2017-12-17"
14390761,3708126,"2018-05-05","2018-06-30"
14391106,16154360,"2011-08-11","2011-08-11"
14392821,5764669,"2012-06-02","2012-07-01"
14393660,11058957,"2008-06-20","2008-08-16"
14395235,3255090,"2009-07-02","2009-07-03"
14395483,4334497,"2014-03-16","2014-08-17"
14396337,4839648,"2012-07-11","2012-08-10"
14396752,2857335,"2015-07-04","2015-07-29"
14398133,14330106,"2018-09-15","2018-11-03"
14399472,1153402,"2013-03-11","2013-03-12"
14400420,6942427,"2012-02-08","2012-03-16"
14402683,9919206,"2011-04-30","2011-04-30"
14402736,15901858,"2012-07-02","2012-07-02"
14404188,6669651,"2019-09-05","2019-10-17"
14405044,7535394,"2013-11-16","2013-11-16"
14406742,5811036,"2007-02-17","2007-03-01"
14408064,10534432,"2014-11-14","2014-12-06"
14409053,1153402,"2010-08-13","2010-10-31"
14409144,3708126,"2012-06-02","2012-06-30"
14409513,14221280,"2013-01-05","2013-01-05"
14413156,1300447,"2017-11-15","2017-11-15"
14413898,4451265,"2019-05-04","2019-07-07"
14414313,7729187,"2018-03-17","2018-04-21"
14415252,6474523,"2012-03-02","2012-04-07"
14415528,12757578,"2017-02-18","2017-03-25"
14416594,5231713,"2013-01-11","2013-03-09"
14423136,15997428,"2018-10-11","2018-12-06"
14424364,5392379,"2014-01-18","2014-02-22"
14424766,5527059,"2016-03-19","2016-05-14"
14425386,7729187,"2016-07-23","2016-09-03"
14431343,8692473,"2012-06-09","2012-07-21"
14440860,12330565,"2008-02-08","2008-05-04"
14441863,6567283,"2012-03-03","2012-04-28"
14442576,11856697,"2018-11-17","2018-11-17"
14444951,4079019,"2008-01-18","2008-02-23"
14445509,10137684,"2012-02-04","2012-05-13"
14445828,5903412,"2014-10-08","2014-10-26"
14446626,512846,"2008-10-15","2008-10-18"
14446812,9576675,"2009-03-07","2009-03-29"
14447803,8582368,"2018-10-25","2018-11-03"
14447891,3430069,"2014-09-13","2014-10-11"
14450522,6474523,"2013-04-05","2013-05-11"
14451283,5764669,"2008-06-07","2008-06-25"
14451798,2797286,"2018-02-23","2018-03-31"
14452183,1212828,"2015-05-30","2015-07-18"
14453011,12330565,"2010-02-14","2010-05-09"
14456080,881985,"2017-04-18","2017-06-15"
14461033,1729644,"2017-03-09","2017-04-22"
14463280,14369173,"2012-09-13","2012-11-18"
14463492,5976362,"2014-09-24","2014-09-24"
14463638,11868758,"2015-09-25","2015-09-27"
14464014,9634931,"2008-03-14","2008-04-14"
14464807,5231713,"2010-02-19","2010-03-20"
14465280,5340658,"2018-05-19","2018-06-23"
14465565,10137684,"2008-11-20","2008-11-20"
14465995,14207979,"2018-04-13","2018-05-19"
14467839,10137684,"2012-02-04","2012-05-13"
14468267,12757578,"2018-09-15","2018-10-27"
14470873,7535394,"2017-02-25","2017-04-01"
14470936,1153402,"2010-03-20","2010-08-08"
14471399,6617588,"2011-05-21","2011-06-11"
14471429,1153402,"2016-02-12","2016-02-12"
14472325,3155723,"2018-09-08","2018-10-13"
14473858,15823095,"2012-07-26","2012-07-26"
14474187,10000716,"2011-08-06","2011-09-01"
14474409,1747891,"2009-03-06","2009-03-07"
14483235,11856697,"2013-01-25","2013-03-02"
14485767,3155723,"2013-01-12","2013-02-09"
14485819,8692473,"2008-02-09","2008-02-21"
14486156,4029071,"2017-04-08","2017-04-08"
14486167,8692473,"2012-04-21","2012-05-26"
14487408,4024092,"2013-08-02","2013-09-02"
14488285,10000716,"2013-10-05","2013-10-31"
14491273,4036593,"2016-01-09","2016-02-13"
14492753,15370206,"2013-06-01","2013-08-22"
14492801,218224,"2011-10-20","2011-12-02"
14496005,3143806,"2007-11-03","2007-12-29"
14498185,13236364,"2013-12-07","2014-01-11"
14498298,12773559,"2009-03-26","2009-03-28"
14501194,11778569,"2014-10-10","2014-10-10"
14501389,15506325,"2019-01-22","2019-02-15"
14501947,8685805,"2014-06-07","2014-06-28"
14505803,12330565,"2011-10-23","2012-01-16"
14512367,1426933,"2012-06-23","2012-06-23"
14512886,4036593,"2012-09-20","2012-09-20"
14513491,4509071,"2013-09-20","2013-09-20"
14513622,10137684,"2007-03-31","2007-06-17"
14515787,2204740,"2013-11-30","2013-11-30"
14516602,3352428,"2016-07-16","2016-08-19"
14518465,8685805,"2014-08-02","2014-08-30"
14519388,3899928,"2017-02-25","2017-02-25"
14520294,10137684,"2016-12-17","2016-12-17"
14521236,9919206,"2010-12-24","2010-12-24"
14522073,6022610,"2014-11-07","2015-01-04"
14524590,4334497,"2012-03-17","2012-07-15"
14524827,4334497,"2013-07-27","2013-07-27"
14526465,3816741,"2010-02-18","2010-03-27"
14527678,13952082,"2009-11-21","2010-01-01"
14531144,1747891,"2009-03-14","2009-04-17"
14533482,512846,"2016-10-20","2016-11-29"
14536904,12267103,"2016-11-05","2016-11-06"
14537247,12330565,"2010-03-13","2010-03-13"
14539341,6394891,"2019-01-06","2019-01-31"
14541500,4036593,"2018-10-13","2018-11-18"
14542265,1077923,"2016-12-03","2016-12-03"
14544573,6450183,"2017-11-01","2017-12-19"
14546695,6450183,"2019-07-31","2019-07-31"
14551742,59280,"2019-04-11","2019-08-18"
14554230,9041257,"2013-08-30","2013-08-30"
14555447,6669651,"2014-10-02","2014-12-04"
14557478,6618085,"2015-05-02","2015-07-19"
14558532,4362617,"2013-07-13","2013-08-03"
14561846,3887462,"2011-05-13","2011-06-10"
14562393,14221280,"2014-09-19","2014-11-01"
14564908,14258737,"2019-05-10","2019-07-13"
14565181,11533392,"2015-01-16","2015-04-03"
14566880,1212828,"2013-07-27","2013-07-27"
14568161,4169497,"2007-04-09","2007-04-09"
14571584,14330106,"2010-04-24","2010-05-01"
14572441,8573380,"2010-03-27","2010-04-24"
14572780,12757578,"2017-07-01","2017-08-19"
14573675,14330106,"2017-03-31","2017-04-29"
14577377,1077923,"2018-03-29","2018-03-29"
14579258,1077923,"2019-02-20","2019-02-20"
14581366,6567283,"2010-03-13","2010-04-28"
14581664,8848008,"2007-04-13","2007-04-13"
14590552,1300447,"2017-10-24","2017-10-24"
14595013,712212,"2017-06-03","2017-08-19"
14597741,5553094,"2019-01-19","2019-03-02"
14598388,9873468,"2008-05-30","2008-07-05"
